Name;SKU;ASIN;FBA stock;ROI,%;apr-24;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;FBA178QC24LL.MISSING3;B07P15RVRP;953;119;0.00;0;-8.32;0;0.00;0.00;0;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);2511;B07P3FHFTF;0;0;0.00;0;-17.82;1;0.00;0.00;0;1;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 250g XL) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Green, Unscented XL);HJ-244K-3P1V;B07VVMRQS7;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2;HW-L5A0-F1BN;B07VWSMRBH;953;0;0.00;0;-1.69;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Blue, Unscented);3W-7YOB-UPKF;B07VWSN19P;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Camo Grey;4X-K06O-8IQX;B07VXS6L9F;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, Original XL);QD-H3G1-3WUG;B07VYVGRM6;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell XL Sensitive Odor Eliminator + Shoe deodorizer (2 Pack, 250g) Activated Bamboo Charcoal + Minerals - Air Purifying Bags - Natural Freshener Inserts for shoes, boots, bags, cars and more;0W-2F1R-0PDW;B07VYVYPBV;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Tropical Floral;2510;B07W44PRLN;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Silver Grey;BT-FOQ3-UXY1;B07W7LQYSZ;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Hawaii Floral;1509-3;B097393QB6;53;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3;B09739J698;0;0;0.00;0;-0.04;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Camouflage - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6114-FBM;B09FVG1X9C;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Pink - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6111-FBM;B09FVG3G82;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Hawaii Floral - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6113-FBM;B09FVK5BG3;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Orange - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6112-FBM;B09FVKZSTS;39;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (1 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Maxi);412;B09L58BYS2;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
Totals;0.00;0.00;0.00;0.00;11,407.05;743;536.98;9;1.21;11,407.05;743;9;1.21;12,261
