"Name";"SKU";"ASIN";"FBA stock";"ROI,%";"January 2024";"";"";"";"";"February 2024";"";"";"";"";"";"";"";"";"";"March 2024";"";"";"";"";"";"";"";"";"";"April 2024";"";"";"";"";"";"";"";"";"";"May 2024";"";"";"";"";"";"";"";"";"";"June 2024";"";"";"";"";"";"";"";"";"";"July 2024";"";"";"";"";"";"";"";"";"";"August 2024";"";"";"";"";"";"";"";"";"";"September 2024";"";"";"";"";"";"";"";"";"";"October 2024";"";"";"";"";"";"";"";"";"";"Totals";"";"";""
"SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra";"1514-3-FBM";"B09739J698";"56";"263";"0.00";"0";"0.00";"0";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"1,293.25";"";"35";"";"483.42";"";"0";"";"0.00";"0.00";"591.20";"-54.29";"16";"-54.29";"297.98";"-38.36";"0";"";"0.00";"0.00";"110.85";"-81.25";"3";"-81.25";"0.42";"-99.86";"0";"";"0.00";"0.00";"110.85";"";"3";"";"47.96";"11,319.05";"0";"";"0.00";"0.00";"480.35";"333.33";"13";"333.33";"267.62";"458.01";"0";"";"0.00";"0.00";"1,079.15";"124.66";"29";"123.08";"651.46";"143.43";"0";"";"0.00";"0.00";"1,204.35";"11.60";"31";"6.90";"639.26";"-1.87";"1";"";"3.23";"0.00";"155.40";"-87.10";"4";"-87.10";"92.70";"-85.50";"0";"-100.00";"0.00";"-100.00";"5,025.40";"134";"1";"0.75"
"SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Camo Green";"1510-3";"B0BXPGVPD2";"0";"180";"1,168.05";"39";"303.95";"0";"0.00";"29.95";"-97.44";"1";"-97.44";"39.60";"-86.97";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"36.95";"";"1";"";"12.48";"";"0";"";"0.00";"0.00";"1,071.55";"2,800.00";"29";"2,800.00";"414.61";"3,222.20";"0";"";"0.00";"0.00";"702.05";"-34.48";"19";"-34.48";"307.65";"-25.80";"1";"";"5.26";"0.00";"332.55";"-52.63";"9";"-52.63";"189.83";"-38.30";"0";"-100.00";"0.00";"-100.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"3,341.10";"98";"1";"1.02"
"SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Hawaii Floral";"1509-3";"B097393QB6";"55";"275";"119.80";"4";"-9.88";"0";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"-0.12";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"-0.03";"-75.00";"0";"";"0.00";"0.00";"73.90";"";"2";"";"33.37";"-111,333.33";"0";"";"0.00";"0.00";"591.20";"700.00";"16";"700.00";"285.74";"756.28";"0";"";"0.00";"0.00";"554.25";"-6.25";"15";"-6.25";"309.83";"8.43";"0";"";"0.00";"0.00";"931.35";"68.04";"25";"66.67";"552.31";"78.26";"0";"";"0.00";"0.00";"777.00";"-16.57";"20";"-20.00";"416.52";"-24.59";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"-1.42";"-100.34";"0";"";"0.00";"0.00";"3,047.50";"82";"0";"0.00"
"SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer";"6009";"B09FVML51L";"0";"163";"274.45";"11";"115.22";"0";"0.00";"149.70";"-45.45";"6";"-45.45";"50.14";"-56.48";"1";"";"16.67";"0.00";"687.70";"359.39";"26";"333.33";"308.24";"514.76";"0";"-100.00";"0.00";"-100.00";"466.15";"-32.22";"17";"-34.62";"192.79";"-37.45";"1";"";"5.88";"0.00";"398.25";"-14.57";"15";"-11.76";"191.57";"-0.63";"0";"-100.00";"0.00";"-100.00";"279.50";"-29.82";"10";"-33.33";"128.56";"-32.89";"0";"";"0.00";"0.00";"245.55";"-12.15";"9";"-10.00";"117.78";"-8.39";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"2,501.30";"94";"2";"2.13"
"SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer";"6010";"B09FVNGXCS";"0";"97";"199.60";"8";"-58.95";"0";"0.00";"99.80";"-50.00";"4";"-50.00";"-34.17";"-42.04";"1";"";"25.00";"0.00";"177.65";"78.01";"7";"75.00";"87.02";"-354.67";"0";"-100.00";"0.00";"-100.00";"80.85";"-54.49";"3";"-57.14";"37.70";"-56.68";"0";"";"0.00";"0.00";"52.90";"-34.57";"2";"-33.33";"25.20";"-33.16";"0";"";"0.00";"0.00";"55.90";"5.67";"2";"";"24.81";"-1.55";"0";"";"0.00";"0.00";"55.90";"";"2";"";"24.37";"-1.77";"0";"";"0.00";"0.00";"158.70";"183.90";"6";"200.00";"73.66";"202.26";"0";"";"0.00";"0.00";"354.35";"123.28";"13";"116.67";"149.66";"103.18";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"1,235.65";"47";"1";"2.13"
"SmellWell - 4-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 8 x 1.8oz Original Size Green Camo";"1510-4-FBM";"B0D25XHMB9";"0";"0";"0.00";"0";"0.00";"0";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"599.25";"";"15";"";"469.51";"";"1";"";"6.67";"0.00";"39.95";"-93.33";"1";"-93.33";"32.46";"-93.09";"0";"-100.00";"0.00";"-100.00";"79.90";"100.00";"2";"100.00";"64.92";"100.00";"0";"";"0.00";"0.00";"239.70";"200.00";"6";"200.00";"194.76";"200.00";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"958.80";"24";"1";"4.17"
"SmellWell Freshener Bag XL - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer";"6110-FBM";"B09FVPY15K";"11";"204";"0.00";"0";"0.00";"0";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"104.85";"";"3";"";"54.78";"";"0";"";"0.00";"0.00";"174.75";"66.67";"5";"66.67";"95.68";"74.66";"0";"";"0.00";"0.00";"34.95";"-80.00";"1";"-80.00";"19.21";"-79.92";"0";"";"0.00";"0.00";"34.95";"";"1";"";"19.13";"-0.42";"0";"";"0.00";"0.00";"104.85";"200.00";"3";"200.00";"57.24";"199.22";"0";"";"0.00";"0.00";"69.90";"-33.33";"2";"-33.33";"36.97";"-35.41";"0";"";"0.00";"0.00";"244.65";"250.00";"7";"250.00";"129.18";"249.42";"0";"";"0.00";"0.00";"69.90";"-71.43";"2";"-71.43";"37.65";"-70.85";"0";"";"0.00";"0.00";"838.80";"24";"0";"0.00"
"SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra";"1514-3";"B09739J698";"0";"62";"718.80";"25";"113.57";"1";"4.00";"89.85";"-87.50";"3";"-88.00";"16.93";"-85.09";"2";"100.00";"66.67";"1,566.67";"0.00";"-100.00";"0";"-100.00";"-1.15";"-106.79";"0";"-100.00";"0.00";"0.00";"0.00";"";"0";"";"-0.04";"-96.52";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"-2.63";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"-100.00";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"-0.06";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"-100.00";"0";"";"0.00";"0.00";"808.65";"28";"3";"10.71"
"SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer";"6010-FBM";"B09FVNGXCS";"47";"164";"0.00";"0";"0.00";"0";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"80.85";"";"3";"";"34.92";"";"0";"";"0.00";"0.00";"136.75";"69.14";"5";"66.67";"62.30";"78.41";"0";"";"0.00";"0.00";"77.85";"-43.07";"3";"-40.00";"38.43";"-38.31";"0";"";"0.00";"0.00";"83.85";"7.71";"3";"";"36.94";"-3.88";"0";"";"0.00";"0.00";"83.85";"";"3";"";"37.45";"1.38";"0";"";"0.00";"0.00";"52.90";"-36.91";"2";"-33.33";"23.69";"-36.74";"0";"";"0.00";"0.00";"195.65";"269.85";"7";"250.00";"74.88";"216.08";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"-1.54";"-102.06";"0";"";"0.00";"0.00";"711.70";"26";"0";"0.00"
"SmellWell - 24 Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 48 x 1.8oz Team Pack";"1404-FBM";"B0D4QMWM63";"9";"0";"0.00";"0";"0.00";"0";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"0.00";"";"0";"";"0.00";"";"0";"";"0.00";"0.00";"210.00";"";"1";"";"170.62";"";"0";"";"0.00";"0.00";"210.00";"";"1";"";"170.62";"";"0";"";"0.00";"0.00";"0.00";"-100.00";"0";"-100.00";"0.00";"-100.00";"0";"";"0.00";"0.00";"420.00";"2";"0";"0.00"
